"name";"haeufigkeit_gesamt"
"NeverDems                               ";1
"NeverForget                             ";1
"NeverHillary                            ";6
"NeverTrump                              ";3
"NewDay                                  ";1
"NewHampshire                            ";1
"NewYork                                 ";1
"NewYorkValues                           ";6
"NHPolitics                              ";2
"NHPrimary                               ";6
"NoBillNoBreak                           ";8
"NoLoyalty                               ";1
"NoMoreSilence                           ";2
"NotOneMore                              ";1
"NPS100                                  ";2
"NVcaucus                                ";1
"NYCPride                                ";1
"NYPrimary                               ";9
"Obamacare                               ";4
"ObamaCare                               ";3
"OHHillYes                               ";1
"Olmstead                                ";1
"OnTheRecord                             ";1
"OpeningCeremony                         ";1
"OpioidAwarenessWeek                     ";1
"Orlando                                 ";1
"OrlandoUnited                           ";2
"ORPrimary                               ";1
"PAPrimary                               ";2
"PhilandoCastile                         ";1
"Politician                              ";1
"polls                                   ";1
"Polls                                   ";1
"POTUS                                   ";7
"presidenttrump                          ";1
"primary                                 ";1
"PrimaryDay                              ";6
"Prince                                  ";1
"Pulse                                   ";1
"PurpleHeartDay                          ";1
"Racine                                  ";1
"RepMikeKelly                            ";1
"RestoreTheVRA                           ";2
"RiggedSystem                            ";1
"Rio2016                                 ";1
"RIP                                     ";1
"RIPrimary                               ";2
"RNC                                     ";1
"RNCinCLE                                ";56
"RNCInCLE                                ";3
"RNCINCLE                                ";1
"RNCwithBernie                           ";1
"RobotRubio                              ";1
"ROGERAILES                              ";1
"RogerStone                              ";1
"RollCallVote                            ";2
"RosanellEaton                           ";1
"RTM2016                                 ";1
"Rubio                                   ";1
"SallyRideDay                            ";1
"SaveElephants                           ";1
"SayHerName                              ";1
"SB50                                    ";1
"SCOTUS                                  ";4
"SCPrimary                               ";7
"SecondAmendment                         ";1
"sendDonaldtospace                       ";1
"ShesWithUs                              ";1
"SheWon                                  ";5
"sitin                                   ";2
"slipping                                ";1
"smallbiz                                ";2
"SmallBizWeek                            ";1
"SOTU                                    ";2
"SouthCarolina                           ";1
"SouthCarolinaPrimary                    ";1
"Srebrenica                              ";1
"StandTogether                           ";1
"StandWithLouisiana                      ";1
"StanleyCup                              ";1
"Statehood                               ";1
"StopCommonCore                          ";1
"StopGunViolence                         ";3
"StoptheHate                             ";2
"StrongerTogether                        ";7
"SuperBowlSunday                         ";1
"SuperSaturday                           ";2
"SuperTuesday                            ";19
"taxplan                                 ";1
"TBT                                     ";11
"TeacherAppreciationDay                  ";1
"Teachers4Trump                          ";1
"TeamTrump                               ";4
"TeamUSA                                 ";1
"Ted                                     ";1
"TedCruz                                 ";2
"TerenceCrutcher                         ";1
"ThankAVet                               ";1
"ThanksObama                             ";1
"TheDonald                               ";1
"TheTonightShow                          ";1
"TitleIX                                 ";1
"TPP                                     ";1
"trump                                   ";2
"Trump                                   ";7
"TRUMP                                   ";1
"trump2016                               ";3
"Trump2016                               ";309
"TRUMP2016                               ";1
"Trump360                                ";1
"Trump4President                         ";1
"Trump4Vets                              ";1
"TrumpCountry                            ";1
"TrumpDallas                             ";1
"TRUMPDOG                                ";1
"TrumpForPresident                       ";1
"TrumpinEverett                          ";1
"TrumpIsWithYou                          ";1
"TrumpLV                                 ";1
"TrumpMovement                           ";1
"TrumpNV                                 ";1
"TrumpPence16                            ";23
"TrumpPence2016                          ";2
"TrumpSupporters                         ";1
"TrumpTrain                              ";32
"TrumpWaikiki                            ";1
"TrumpWon                                ";2
"TrumpYourself                           ";4
"Turkey                                  ";1
"TurnUpToVote                            ";1
"UAW                                     ";1
"ugpride2016                             ";1
"UnderstandSlavery                       ";1
"UNGA                                    ";1
"UPUPUP                                  ";1
"USA                                     ";1
"USMC2016                                ";1
"UT                                      ";1
"Utah                                    ";2
"Utah4Trump                              ";1
"UtahCaucus                              ";2
"UtahPrimary                             ";1
"UTCaucus                                ";2
"vaticanwalls                            ";1
"veterans                                ";1
"VirWINia                                ";2
